lat,lon,adr,name,start_t,end_t,mood_date,mood
40.8312592,14.244409,"Via Chiatamone, 61/62 80121 Napoli NA Italia","University of Naples ""L'Orientale""",2019-04-01T13:20:49.424Z,2019-04-01T17:19:17.251Z,2019-04-01,bad
40.8432091,14.2556386,80133 Napoli NA Italia,Università,2019-04-01T17:50:25.499Z,2019-04-01T17:58:14.250Z,2019-04-01,bad
40.8508397,14.2598529,Via Duomo Napoli NA Italia,Via Duomo,2019-04-03T07:59:13.106Z,2019-04-03T11:08:58Z,2019-04-03,good
40.8489354,14.2292272,"Via Tino di Camaino, 9 80128 Napoli NA Italia",Dott.ssa Barbara Marrone - Psicologa Napoli,2019-04-03T16:32:49.733Z,2019-04-03T16:52:14.901Z,2019-04-03,good
40.8455655,14.2323448,"Via Michele Kerbaker, 85 80129 Napoli NA Italia",Cinema Plaza,2019-04-03T17:07:36.413Z,2019-04-03T19:23:02.035Z,2019-04-03,good
40.8514185,14.2258198,"Via S. Giacomo dei Capri, 23 80128 Napoli NA Italia",Garage Italia,2019-04-03T19:35:27.632Z,2019-04-03T19:41:34.511Z,2019-04-03,good
40.84941,14.250412,"Via Port'Alba, 17 80135 Napoli NA Italia",Bar Port'Alba Di Roberto Gioacchino,2019-04-05T21:37:28.516Z,2019-04-05T21:44:40.684Z,2019-04-05,good
40.848699,14.2545405,"P.za S. Domenico Maggiore, 9 80134 Napoli NA Italia",jamón,2019-04-05T21:46:01.756Z,2019-04-05T22:00:31.565Z,2019-04-05,good
40.8448404,14.2565632,"Via Giannantonio Summonte, 1/19 80138 Napoli NA Italy",Cucina Pop,2019-04-05T22:08:37.390Z,2019-04-05T22:50:56.175Z,2019-04-05,good
40.8480053,14.2528378,"Via S. Sebastiano, 36 80134 Napoli NA Italia",Fahrenheit winebar,2019-04-05T22:57:46.471Z,2019-04-05T23:21:08.920Z,2019-04-05,good
40.846386,14.2549933,"Via S. Giovanni Maggiore Pignatelli, 17 80134 Napoli NA Italia",Vida,2019-04-05T23:27:13.095Z,2019-04-06T00:19:53.349Z,2019-04-05,good
40.8352321,14.2419046,"Via S. Caterina, 76 80121 Napoli NA Italia",Chiesa di Santa Caterina a Chiaia,2019-04-06T09:06:18.231Z,2019-04-06T11:30:12.754Z,2019-04-06,meh
40.8334139,14.1872247,"Cupa Vicinale Terracina, 119 80125 Napoli NA Italia","Cupa Vicinale Terracina, 119",2019-04-06T20:28:53.737Z,2019-04-06T23:03:11.753Z,2019-04-06,meh
40.8456967,14.2551578,"Vico Banchi Nuovi, 9 80134 Napoli NA Italia",University of Naples L'Orientale,2019-04-09T10:12:14.211Z,2019-04-09T11:56:36.895Z,2019-04-09,meh
40.848851,14.2563932,"Via San Biagio Dei Librai, 3 80138 Napoli NA Italia",Taralleria Napoletana,2019-04-09T11:58:37.956Z,2019-04-09T12:04:30.524Z,2019-04-09,meh
40.8629601,14.2712861,"Via Generale Francesco Pinto, 12 80141 Napoli NA Italia",MisterPlanet Arenaccia,2019-04-12T20:01:09.523Z,2019-04-12T21:29:19.017Z,2019-04-12,good
40.8243343,14.1885876,"Viale John Fitzgerald Kennedy, 54 80125 Napoli NA Italia",Mostra d'Oltremare,2019-04-13T14:19:37.428Z,2019-04-13T17:00:28.004Z,2019-04-13,good
40.8456076,14.2558934,Rampe S. Giovanni Maggiore 80134 Napoli NA Italia,St. John the Greater Basilica,2019-04-15T07:29:34.993Z,2019-04-15T09:59:24.771Z,2019-04-15,meh
40.8459443,14.2557766,"Via S. Giovanni Maggiore Pignatelli, 27 80134 Napoli NA Italia",Kestè,2019-04-15T10:01:27.097Z,2019-04-15T10:49:34.839Z,2019-04-15,meh
40.8616167,14.2836509,"Via Grimaldi, E/5 80143 Napoli NA Italia",Procura della Repubblica di Napoli,2019-04-19T10:52:15.206Z,2019-04-19T11:17:57Z,2019-04-19,good
40.8537372,14.2878379,80142 Napoli NA Italia,Naples Gianturco Station,2019-04-19T11:31:52.697Z,2019-04-19T11:39:22.613Z,2019-04-19,good
40.8553252,14.2550321,80137 Napoli NA Italia,Naples Piazza Cavour Station,2019-04-19T12:01:09.899Z,2019-04-19T12:08:36.583Z,2019-04-19,good
40.9398606,14.3728586,80011 Acerra NA Italia,Acerra,2019-04-22T07:03:38Z,2019-04-22T07:30:02.694Z,2019-04-22,rad
40.7023642,14.7074296,"Via Andrea Sorrentino, 19 84013 Cava de' Tirreni SA Italia",Italian Post Office Post,2019-04-22T08:41:46.351Z,2019-04-22T08:49:36.492Z,2019-04-22,rad
40.7111679,14.712067,Piazza Marco Galdi 84013 Cava de' Tirreni SA Italia,Parrocchia S. Nicola Di Bari,2019-04-22T08:56:31Z,2019-04-22T16:50:08.528Z,2019-04-22,rad
